Заголовок,Ссылка на объявление,Цена
"
Сдам квартиру-студию в старом центре города!
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-v-starom-tsentre-goroda-IDAo1U0.html#6cb1c79bfd,"
6 000 грн.
"
"
Сдам уютную квартиру в ЖК ""Воробьевы Горы""
",https://www.olx.ua/obyavlenie/sdam-uyutnuyu-kvartiru-v-zhk-vorobevy-gory-IDAdjPe.html#6cb1c79bfd,"
5 759 грн.
"
"
Сдам стильную квартиру-студию
",https://www.olx.ua/obyavlenie/sdam-stilnuyu-kvartiru-studiyu-IDCWPIR.html#6cb1c79bfd,"
5 500 грн.
"
"
Сдаю квартиру-студию в новом доме
",https://www.olx.ua/obyavlenie/sdayu-kvartiru-studiyu-v-novom-dome-IDBaaCb.html#6cb1c79bfd,"
6 200 грн.
"
"
Сдам 2х уровневую квартиру-студию
",https://www.olx.ua/obyavlenie/sdam-2h-urovnevuyu-kvartiru-studiyu-IDAfqSk.html#9904c31db7;promoted,"
6 000 грн.
"
"
М.студенческая,свободна!
",https://www.olx.ua/obyavlenie/m-studencheskaya-svobodna-IDEFocw.html#9904c31db7;promoted,"
9 162 грн.
"
"
Сдам однокомнатную квартиру м. Студенческая
",https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-m-studencheskaya-IDECaZ0.html#9904c31db7;promoted,"
6 545 грн.
"
"
Сдам свою 2-х уровневую квартиру, студия. Ак. Павлова. Воробьевы горы
",https://www.olx.ua/obyavlenie/sdam-svoyu-2-h-urovnevuyu-kvartiru-studiya-ak-pavlova-vorobevy-gory-IDCuCNG.html#9904c31db7;promoted,"
6 500 грн.
"
"
Сдам комнату рядом с метро Героев труда
",https://www.olx.ua/obyavlenie/sdam-komnatu-ryadom-s-metro-geroev-truda-IDEy0GS.html#9904c31db7;promoted,"
2 500 грн.
"
"
Сдам гостинки на Котлова 106 и комнату в 2х комн.кв. ул.Пушкинская 52
",https://www.olx.ua/obyavlenie/sdam-gostinki-na-kotlova-106-i-komnatu-v-2h-komn-kv-ul-pushkinskaya-52-IDEGgBe.html#9904c31db7,"
4 000 грн.
"
"
Шикарная квартира ждет Вас! Сдам 2х уров. квартиру в новострое!
",https://www.olx.ua/obyavlenie/shikarnaya-kvartira-zhdet-vas-sdam-2h-urov-kvartiru-v-novostroe-IDBed7Y.html#9904c31db7,"
7 500 грн.
"
"
Сдам квартиру с евроремонтом Воробьевы Горы
",https://www.olx.ua/obyavlenie/sdam-kvartiru-s-evroremontom-vorobevy-gory-IDECqTi.html#9904c31db7,"
6 545 грн.
"
"
Срочно!Сдам квартиру,1-ком,м/г,новостройка.
",https://www.olx.ua/obyavlenie/srochno-sdam-kvartiru-1-kom-m-g-novostroyka-IDB7QuR.html#9904c31db7,"
5 765 грн.
"
"
Сдам 2х.уров. квартиру, р-н. ст. метро Ак. Павлова
",https://www.olx.ua/obyavlenie/sdam-2h-urov-kvartiru-r-n-st-metro-ak-pavlova-IDAa0HO.html#9904c31db7,"
7 600 грн.
"
"
Срочно сдам квартиру-студию на Салтовке недалеко от метро
",https://www.olx.ua/obyavlenie/srochno-sdam-kvartiru-studiyu-na-saltovke-nedaleko-ot-metro-IDBebq2.html#9904c31db7,"
6 021 грн.
"
"
Аренда 4-х комн. квартиры Харьков (центр) ул. Гиршмана
",https://www.olx.ua/obyavlenie/arenda-4-h-komn-kvartiry-harkov-tsentr-ul-girshmana-IDdYHZy.html#9904c31db7;promoted,"
32 500 грн.
"
"
Сдам квартиру-студию.19м2
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-19m2-IDAi3A2.html#9904c31db7,"
6 200 грн.
"
"
Сдам 2х уровневую квартиру-студию в Новом Экодоме
",https://www.olx.ua/obyavlenie/sdam-2h-urovnevuyu-kvartiru-studiyu-v-novom-ekodome-IDCWJpg.html#9904c31db7,"
6 545 грн.
"
"
Сдам длительно 2х уровневую квартиру-студию в новом ЖК
",https://www.olx.ua/obyavlenie/sdam-dlitelno-2h-urovnevuyu-kvartiru-studiyu-v-novom-zhk-IDBi7WB.html#9904c31db7,"
7 600 грн.
"
"
Сдаю квартиру-студию
",https://www.olx.ua/obyavlenie/sdayu-kvartiru-studiyu-IDCWIOK.html#9904c31db7,"
6 027 грн.
"
"
Сдам шикарную квартиру в ЖК ""Воробьевы Горы""
",https://www.olx.ua/obyavlenie/sdam-shikarnuyu-kvartiru-v-zhk-vorobevy-gory-IDAhRhs.html#9904c31db7,"
5 000 грн.
"
"
Аренда 1 комнатная квартира м.Студенческая
",https://www.olx.ua/obyavlenie/arenda-1-komnatnaya-kvartira-m-studencheskaya-IDEGacA.html#9904c31db7,"
7 849 грн.
"
"
Сдам отличную квартиру-студию,ЖК ""Бестужевские Сады"".
",https://www.olx.ua/obyavlenie/sdam-otlichnuyu-kvartiru-studiyu-zhk-bestuzhevskie-sady-IDA9Peu.html#9904c31db7,"
6 500 грн.
"
"
Сдам 1 к. м. Ботанический Сад Есенина 14
",https://www.olx.ua/obyavlenie/sdam-1-k-m-botanicheskiy-sad-esenina-14-IDEG8Nb.html#9904c31db7,"
7 000 грн.
"
"
1к Проспект Курчатова (Пятихатки) 30 мин. до м. Университет
",https://www.olx.ua/obyavlenie/1k-prospekt-kurchatova-pyatihatki-30-min-do-m-universitet-IDEf2R0.html#9904c31db7,"
3 500 грн.
"
"
Сдам изолированную гостинку в Новострое!
",https://www.olx.ua/obyavlenie/sdam-izolirovannuyu-gostinku-v-novostroe-IDCWEpp.html#9904c31db7,"
5 241 грн.
"
"
Сдам уютные квартиру-студию для Вас!
",https://www.olx.ua/obyavlenie/sdam-uyutnye-kvartiru-studiyu-dlya-vas-IDBl6KW.html#9904c31db7,"
6 021 грн.
"
"
Уникальное предложение. Минимальная цена за 1к кв около метро!
",https://www.olx.ua/obyavlenie/unikalnoe-predlozhenie-minimalnaya-tsena-za-1k-kv-okolo-metro-IDBmbST.html#9904c31db7,"
5 759 грн.
"
"
Сдам шикарную 2х уровневую квартиру с новым ремонтом!
",https://www.olx.ua/obyavlenie/sdam-shikarnuyu-2h-urovnevuyu-kvartiru-s-novym-remontom-IDB6b9I.html#9904c31db7,"
6 806 грн.
"
"
АРЕНДА КВАРТИРА Ботанический Сад
",https://www.olx.ua/obyavlenie/arenda-kvartira-botanicheskiy-sad-IDEjrJ7.html#9904c31db7;promoted,"
19 634 грн.
"
"
Сдам 3-х комнатную евро квартиру возле метро Академика Павлова
",https://www.olx.ua/obyavlenie/sdam-3-h-komnatnuyu-evro-kvartiru-vozle-metro-akademika-pavlova-IDEG6yc.html#9904c31db7;promoted,"
15 000 грн.
"
"
Сдам 2к с евроремонтом в центре   М52
",https://www.olx.ua/obyavlenie/sdam-2k-s-evroremontom-v-tsentre-m52-IDEl50B.html#9904c31db7,"
15 000 грн.
"
"
Сдам 2 к кв на Пр. Гагарина д.169 б
",https://www.olx.ua/obyavlenie/sdam-2-k-kv-na-pr-gagarina-d-169-b-IDEfXHP.html#9904c31db7,"
6 000 грн.
"
"
Сдам 1к гост Центр Бекетова Дарвина
",https://www.olx.ua/obyavlenie/sdam-1k-gost-tsentr-beketova-darvina-IDEFVes.html#9904c31db7,"
6 574 грн.
"
"
Сдам квартиру-студию в новом ЖК ""Воробьевы Горы""
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-v-novom-zhk-vorobevy-gory-IDBa9ZU.html#9904c31db7,"
5 236 грн.
"
"
Сдается 2х уровневая квартира-СТУДИЯ на длительный срок
",https://www.olx.ua/obyavlenie/sdaetsya-2h-urovnevaya-kvartira-studiya-na-dlitelnyy-srok-IDBhNYd.html#9904c31db7,"
7 600 грн.
"
"
Центр, своя 2-комн, раздельные, метро Университет, можно иностранцам
",https://www.olx.ua/obyavlenie/tsentr-svoya-2-komn-razdelnye-metro-universitet-mozhno-inostrantsam-IDBrDUs.html#9904c31db7,"
10 460 грн.
"
"
Сдам стильную 2х уровневую квартиру в ЖК ""Воробьевы Горы""
",https://www.olx.ua/obyavlenie/sdam-stilnuyu-2h-urovnevuyu-kvartiru-v-zhk-vorobevy-gory-IDCGlrz.html#9904c31db7,"
7 076 грн.
"
"
Сдам квартиру в новострое на Салтовке
",https://www.olx.ua/obyavlenie/sdam-kvartiru-v-novostroe-na-saltovke-IDCGkgT.html#9904c31db7,"
6 283 грн.
"
"
Сдам 2-х комнатную квартиру на поселке Жуковского!
",https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-na-poselke-zhukovskogo-IDEuiCb.html#9904c31db7,"
6 000 грн.
"
"
Сдаётся Уютная квартира в стильном ЖК ""Воробьёвы Горы""
",https://www.olx.ua/obyavlenie/sdaetsya-uyutnaya-kvartira-v-stilnom-zhk-vorobevy-gory-IDCGiIH.html#9904c31db7,"
5 200 грн.
"
"
Сдам 2 ком. квартиру, м. пл. Конституции
",https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-m-pl-konstitutsii-IDDwqWU.html#9904c31db7,"
14 000 грн.
"
"
Сдам 3х квартиру на Студенческой, рядом с метро
",https://www.olx.ua/obyavlenie/sdam-3h-kvartiru-na-studencheskoy-ryadom-s-metro-IDEFPjM.html#9904c31db7,"
10 460 грн.
"
"
Сдам отличную 2х уров. квартиру-студию в новом экодоме
",https://www.olx.ua/obyavlenie/sdam-otlichnuyu-2h-urov-kvartiru-studiyu-v-novom-ekodome-IDBdMfT.html#9904c31db7,"
6 551 грн.
"
"
Сдам 2х уровневую квартиру в совместную аренду
",https://www.olx.ua/obyavlenie/sdam-2h-urovnevuyu-kvartiru-v-sovmestnuyu-arendu-IDEhD16.html#9904c31db7,"
3 931 грн.
"
"
Сдам 2 к. квартиру-студию, центр
",https://www.olx.ua/obyavlenie/sdam-2-k-kvartiru-studiyu-tsentr-IDyfVc0.html#9904c31db7,"
13 500 грн.
"
"
Сдам уютную квартиру студию в новострое
",https://www.olx.ua/obyavlenie/sdam-uyutnuyu-kvartiru-studiyu-v-novostroe-IDEhB3u.html#9904c31db7,"
6 000 грн.
"
"
Отличное предложение!Сдам 2эт.кв. с дизайнерским ремонтом.
",https://www.olx.ua/obyavlenie/otlichnoe-predlozhenie-sdam-2et-kv-s-dizaynerskim-remontom-IDBhHBF.html#9904c31db7,"
7 600 грн.
"
"
Сдам квартиру
",https://www.olx.ua/obyavlenie/sdam-kvartiru-IDEDGuc.html#7b137c44aa;promoted,"
4 500 грн.
"
"
Сдам квартиру
",https://www.olx.ua/obyavlenie/sdam-kvartiru-IDEET3z.html#7b137c44aa;promoted,"
7 000 грн.
"
"
Аренда Новая 3к.кв. Центр Новострой
",https://www.olx.ua/obyavlenie/arenda-novaya-3k-kv-tsentr-novostroy-IDEEYNC.html#7b137c44aa;promoted,"
18 000 грн.
"
"
Собственник! Сдается 2-х комнатная квартира на Салтовке.
",https://www.olx.ua/obyavlenie/sobstvennik-sdaetsya-2-h-komnatnaya-kvartira-na-saltovke-IDEeLKl.html#7b137c44aa;promoted,"
7 000 грн.
"
"
Сдам 2-х ком. кв-ру на Салтовке м.Студенческая
",https://www.olx.ua/obyavlenie/sdam-2-h-kom-kv-ru-na-saltovke-m-studencheskaya-IDCGqqS.html#7b137c44aa;promoted,"
11 793 грн.
"
"
Сдам 2х-уровневую квартиру с модным ремонтом
",https://www.olx.ua/obyavlenie/sdam-2h-urovnevuyu-kvartiru-s-modnym-remontom-IDA93WA.html#7b137c44aa,"
5 759 грн.
"
"
Сдам гостинку полностью изолированную. Новострой
",https://www.olx.ua/obyavlenie/sdam-gostinku-polnostyu-izolirovannuyu-novostroy-IDEdeXD.html#7b137c44aa,"
5 759 грн.
"
"
Сдается квартира-студия в новом доме на Салтовке
",https://www.olx.ua/obyavlenie/sdaetsya-kvartira-studiya-v-novom-dome-na-saltovke-IDEddQl.html#7b137c44aa,"
5 100 грн.
"
"
Сдается 2х уровневая гостинка
",https://www.olx.ua/obyavlenie/sdaetsya-2h-urovnevaya-gostinka-IDEddgS.html#7b137c44aa,"
7 068 грн.
"
"
Срочно! Сдаю 2х уровневую квартиру-студию.
",https://www.olx.ua/obyavlenie/srochno-sdayu-2h-urovnevuyu-kvartiru-studiyu-IDA8YlS.html#7b137c44aa,"
6 500 грн.
"
"
3ком.кв. на метро Алексеевская
",https://www.olx.ua/obyavlenie/3kom-kv-na-metro-alekseevskaya-IDEFFqh.html#7b137c44aa,"
15 701 грн.
"
"
Сдам квартиру-студию, центр
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-tsentr-IDDA6F6.html#7b137c44aa,"
7 853 грн.
"
"
Отличный вариант! Квартира в пешей доступности от метро!
",https://www.olx.ua/obyavlenie/otlichnyy-variant-kvartira-v-peshey-dostupnosti-ot-metro-IDBj6bg.html#7b137c44aa,"
6 021 грн.
"
"
Сдам 1 к. кв. м. Героев Труда, Северная Салтовка
",https://www.olx.ua/obyavlenie/sdam-1-k-kv-m-geroev-truda-severnaya-saltovka-IDEu8Q3.html#7b137c44aa,"
5 800 грн.
"
"
Сдаю 1 к. квартиру на С. Салтовке. Метро 10мин.
",https://www.olx.ua/obyavlenie/sdayu-1-k-kvartiru-na-s-saltovke-metro-10min-IDEA1OV.html#7b137c44aa,"
4 200 грн.
"
"
Сдам срочно свою без % 2-уров кварт на Воробьев гор 6 этаж
",https://www.olx.ua/obyavlenie/sdam-srochno-svoyu-bez-2-urov-kvart-na-vorobev-gor-6-etazh-IDB3tsi.html#7b137c44aa,"
5 236 грн.
"
"
Сдается гостинка. Первая сдача!
",https://www.olx.ua/obyavlenie/sdaetsya-gostinka-pervaya-sdacha-IDBbTRD.html#7b137c44aa,"
5 236 грн.
"
"
Сдам свою 2-х уровневую квартиру, студия. Ак. Павлова. Воробьевы горы
",https://www.olx.ua/obyavlenie/sdam-svoyu-2-h-urovnevuyu-kvartiru-studiya-ak-pavlova-vorobevy-gory-IDCuCNG.html#7b137c44aa;promoted,"
6 500 грн.
"
"
Сдаю квартиру однокомнатную на Салтовке
",https://www.olx.ua/obyavlenie/sdayu-kvartiru-odnokomnatnuyu-na-saltovke-IDEy6ul.html#7b137c44aa,"
5 236 грн.
"
"
Сдам малогабаритную квартиру в новострое
",https://www.olx.ua/obyavlenie/sdam-malogabaritnuyu-kvartiru-v-novostroe-IDEhsKr.html#7b137c44aa,"
5 236 грн.
"
"
Сдаю однокомнатную квартиру-студию в новострое.
",https://www.olx.ua/obyavlenie/sdayu-odnokomnatnuyu-kvartiru-studiyu-v-novostroe-IDB9H0Z.html#7b137c44aa,"
6 500 грн.
"
"
Сдам 2 ком. кв,  метро Бекетова! Цена снижена!
",https://www.olx.ua/obyavlenie/sdam-2-kom-kv-metro-beketova-tsena-snizhena-IDAk5jU.html#7b137c44aa,"
13 089 грн.
"
"
Аренда НОВАЯ 2ка Новострой. Центр. дом Premium класса, Парковая зона
",https://www.olx.ua/obyavlenie/arenda-novaya-2ka-novostroy-tsentr-dom-premium-klassa-parkovaya-zona-IDCg9Hr.html#7b137c44aa,"
20 935 грн.
"
"
Сдам квартиру-студию со стильным ремонтом
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-so-stilnym-remontom-IDEy4WD.html#7b137c44aa,"
5 500 грн.
"
"
Сдам 1к.кв, в Центре по ул. Алчевских, 3 метро Пушкинская, Бекетова
",https://www.olx.ua/obyavlenie/sdam-1k-kv-v-tsentre-po-ul-alchevskih-3-metro-pushkinskaya-beketova-IDEknL4.html#7b137c44aa,"
10 471 грн.
"
"
Быстро сдам дешевую 2 комнатную квартиру м. Защитников Украины
",https://www.olx.ua/obyavlenie/bystro-sdam-deshevuyu-2-komnatnuyu-kvartiru-m-zaschitnikov-ukrainy-IDEFBv7.html#7b137c44aa,"
4 500 грн.
"
"
Живите красиво уже сегодня!Сдам 2х этажную квартиру в новом ЖК!
",https://www.olx.ua/obyavlenie/zhivite-krasivo-uzhe-segodnya-sdam-2h-etazhnuyu-kvartiru-v-novom-zhk-IDCG4Ei.html#7b137c44aa,"
6 545 грн.
"
"
Сдам однокомнатную квартиру м Студнеческая
",https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-m-studnecheskaya-IDEFDr1.html#7b137c44aa,"
5 299 грн.
"
"
Сдам 2-х ком. кв. на Научной
",https://www.olx.ua/obyavlenie/sdam-2-h-kom-kv-na-nauchnoy-IDEFCnF.html#7b137c44aa,"
18 344 грн.
"
"
Сдам 1ком.кв в жилом комплексе ""Бестужевские Сады""
",https://www.olx.ua/obyavlenie/sdam-1kom-kv-v-zhilom-komplekse-bestuzhevskie-sady-IDA8IvU.html#7b137c44aa,"
5 759 грн.
"
"
Сдам квартиру-студию,м.Академика Павлова
",https://www.olx.ua/obyavlenie/sdam-kvartiru-studiyu-m-akademika-pavlova-IDt1LES.html#7b137c44aa,"
5 759 грн.
"
"
Сдам шикарную 2х уровневую квартиру-студию на Салтовке
",https://www.olx.ua/obyavlenie/sdam-shikarnuyu-2h-urovnevuyu-kvartiru-studiyu-na-saltovke-IDB9BPz.html#7b137c44aa,"
7 500 грн.
"
"
Сдам 1к.квартиру
",https://www.olx.ua/obyavlenie/sdam-1k-kvartiru-IDEFA6f.html#7b137c44aa,"
4 000 грн.
"
"
1 ком Героев Труда 5 мин
",https://www.olx.ua/obyavlenie/1-kom-geroev-truda-5-min-IDEFzRA.html#7b137c44aa;promoted,"
6 200 грн.
"
"
Аренда 3к Центр Новострой Дом Premium класса, ул. Чернышевского д.30
",https://www.olx.ua/obyavlenie/arenda-3k-tsentr-novostroy-dom-premium-klassa-ul-chernyshevskogo-d-30-IDEBHa5.html#7b137c44aa;promoted,"
34 068 грн.
"
"
Аренда 1к Центр Пушкинская
",https://www.olx.ua/obyavlenie/arenda-1k-tsentr-pushkinskaya-IDEFulf.html#7b137c44aa,"
6 500 грн.
"
"
Аренда 2к Центр Новострой Пушкинская Павлово Поле Дизайнерск. ремонт
",https://www.olx.ua/obyavlenie/arenda-2k-tsentr-novostroy-pushkinskaya-pavlovo-pole-dizaynersk-remont-IDEk9sI.html#7b137c44aa,"
17 016 грн.
"
"
Сдам 2-х комнатную квартиру м.Студенческая 522 мр
",https://www.olx.ua/obyavlenie/sdam-2-h-komnatnuyu-kvartiru-m-studencheskaya-522-mr-IDEFsVK.html#7b137c44aa,"
10 468 грн.
"
"
Сдам комнату
",https://www.olx.ua/obyavlenie/sdam-komnatu-IDEosI1.html#7b137c44aa,"
2 000 грн.
"
"
М.студенческая,свободна!
",https://www.olx.ua/obyavlenie/m-studencheskaya-svobodna-IDEFocw.html#7b137c44aa;promoted,"
9 162 грн.
"
"
Сдам 1к. м. Героев труда
",https://www.olx.ua/obyavlenie/sdam-1k-m-geroev-truda-IDEFnWk.html#7b137c44aa,"
4 500 грн.
"
"
Сдам 2 к ул.Дача 55,4/9.евроремонт.M39
",https://www.olx.ua/obyavlenie/sdam-2-k-ul-dacha-55-4-9-evroremont-m39-IDEFnt2.html#7b137c44aa,"
9 162 грн.
"
"
Сдам 2х уровневую квартиру рядом с м. Ак. Павлова
",https://www.olx.ua/obyavlenie/sdam-2h-urovnevuyu-kvartiru-ryadom-s-m-ak-pavlova-IDBjVVd.html#7b137c44aa,"
7 100 грн.
"
"
Сдам новую квартиру-студию,ЖК ""Воробьевы Горы""
",https://www.olx.ua/obyavlenie/sdam-novuyu-kvartiru-studiyu-zhk-vorobevy-gory-IDt3K4I.html#7b137c44aa,"
6 574 грн.
"
"
Сдам свою шикарную 3-х комнатную кв-ру ,ремонт 2018 года, Пески,522мрн
",https://www.olx.ua/obyavlenie/sdam-svoyu-shikarnuyu-3-h-komnatnuyu-kv-ru-remont-2018-goda-peski-522mrn-IDCsYpH.html#d8c4462a0e;promoted,"
13 500 грн.
"
"
Аренда 3к. Дизан-й Пентхаус Центр Сумская Новострой Терраса
",https://www.olx.ua/obyavlenie/arenda-3k-dizan-y-penthaus-tsentr-sumskaya-novostroy-terrasa-IDDjzGi.html#d8c4462a0e;promoted,"
39 254 грн.
"
"
Сдам комнату рядом с метро Героев труда
",https://www.olx.ua/obyavlenie/sdam-komnatu-ryadom-s-metro-geroev-truda-IDEy0GS.html#d8c4462a0e;promoted,"
2 500 грн.
"
"
Сдаю стильную квартиру-студию
",https://www.olx.ua/obyavlenie/sdayu-stilnuyu-kvartiru-studiyu-IDEwFgK.html#d8c4462a0e;promoted,"
5 765 грн.
"
"
Сдаю 1 к. квартиру на C. Салтовке. Метро – 10 мин.
",https://www.olx.ua/obyavlenie/sdayu-1-k-kvartiru-na-c-saltovke-metro-10-min-IDEtESH.html#d8c4462a0e;promoted,"
5 500 грн.
"
"
Сдам однокомнатную квартиру рядом с метро. Салтовка
",https://www.olx.ua/obyavlenie/sdam-odnokomnatnuyu-kvartiru-ryadom-s-metro-saltovka-IDB9E32.html#d8c4462a0e,"
6 542 грн.
"
"
Сдам Гостинку с Дизайнерским Евроремонтом в Новострое .Ф.Бульвар.
",https://www.olx.ua/obyavlenie/sdam-gostinku-s-dizaynerskim-evroremontom-v-novostroe-f-bulvar-IDEFl4m.html#d8c4462a0e,"
5 500 грн.
"
"
Сдам модную 2х уровневую квартиру на Салтовке.
",https://www.olx.ua/obyavlenie/sdam-modnuyu-2h-urovnevuyu-kvartiru-na-saltovke-IDAfZR2.html#d8c4462a0e,"
6 537 грн.
"
"
Сдам квартиру в новострое
",https://www.olx.ua/obyavlenie/sdam-kvartiru-v-novostroe-IDAosVV.html#d8c4462a0e,"
6 021 грн.
"
"
Сдам Квартиру В Новострое.Метро Победа.Не Сдавалась.Все новое.
",https://www.olx.ua/obyavlenie/sdam-kvartiru-v-novostroe-metro-pobeda-ne-sdavalas-vse-novoe-IDEFk1T.html#d8c4462a0e,"
8 000 грн.
"
"
Сдам 2-к. кв. на п.Жуковского рядом с Хаи
",https://www.olx.ua/obyavlenie/sdam-2-k-kv-na-p-zhukovskogo-ryadom-s-hai-IDEFi5u.html#d8c4462a0e,"
5 000 грн.
"
"
Сдам 2х уровневую квартиру-студию.Рядом ТРЦ ""Французский Бульвар""
",https://www.olx.ua/obyavlenie/sdam-2h-urovnevuyu-kvartiru-studiyu-ryadom-trts-frantsuzskiy-bulvar-IDA81xq.html#d8c4462a0e,"
6 545 грн.
"
"
Сдам комнату под ключ м Киевская / м Защитников Украины
",https://www.olx.ua/obyavlenie/sdam-komnatu-pod-klyuch-m-kievskaya-m-zaschitnikov-ukrainy-IDEe12H.html#d8c4462a0e,"
3 500 грн.
"
"
Сдам модную гостинку в ЖК ""Воробьевы Горы""
",https://www.olx.ua/obyavlenie/sdam-modnuyu-gostinku-v-zhk-vorobevy-gory-IDBnqfs.html#d8c4462a0e,"
5 000 грн.
"
"
2х уровневая квартира-студия под аренду в новом ЖК ""Воробьевы Горы""
",https://www.olx.ua/obyavlenie/2h-urovnevaya-kvartira-studiya-pod-arendu-v-novom-zhk-vorobevy-gory-IDBlaTJ.html#d8c4462a0e,"
6 545 грн.
"
"
Сдам 2 ком. квартира, м. Студенческая
",https://www.olx.ua/obyavlenie/sdam-2-kom-kvartira-m-studencheskaya-IDDGSS7.html#d8c4462a0e,"
12 561 грн.
"
"
Сдам стильную квартиру с евроремонтом
",https://www.olx.ua/obyavlenie/sdam-stilnuyu-kvartiru-s-evroremontom-IDEcH54.html#d8c4462a0e,"
6 281 грн.
"
"
Сдам 2 ком. квартиру, м. Пушкинская
",https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-m-pushkinskaya-IDCnMYY.html#d8c4462a0e,"
16 000 грн.
"
"
Сдам квартиру с мебелью и техникой!
",https://www.olx.ua/obyavlenie/sdam-kvartiru-s-mebelyu-i-tehnikoy-IDBkjAs.html#d8c4462a0e,"
5 000 грн.
"
"
Сдам срочно квартиру. ЖК ""Бестужевские Сады""
",https://www.olx.ua/obyavlenie/sdam-srochno-kvartiru-zhk-bestuzhevskie-sady-IDEcGaE.html#d8c4462a0e,"
5 000 грн.
"
"
Предлагается 2х уровневая квартира-студия в новострое!
",https://www.olx.ua/obyavlenie/predlagaetsya-2h-urovnevaya-kvartira-studiya-v-novostroe-IDBl8ZW.html#d8c4462a0e,"
7 068 грн.
"
"
Сдам 1-комнатную квартиру по ул Чернышевской
",https://www.olx.ua/obyavlenie/sdam-1-komnatnuyu-kvartiru-po-ul-chernyshevskoy-IDExDKs.html#d8c4462a0e,"
10 468 грн.
"
"
Срочно сдам однокомнатную квартиру-студию в ЖК Воробьевы Горы
",https://www.olx.ua/obyavlenie/srochno-sdam-odnokomnatnuyu-kvartiru-studiyu-v-zhk-vorobevy-gory-IDEcFqP.html#d8c4462a0e,"
5 785 грн.
"
"
Сдам гостинку в ЖК ""Воробьевы Горы""
",https://www.olx.ua/obyavlenie/sdam-gostinku-v-zhk-vorobevy-gory-IDCeNNc.html#d8c4462a0e,"
5 234 грн.
"
"
Сдам изол. гостинку порядочным людям
",https://www.olx.ua/obyavlenie/sdam-izol-gostinku-poryadochnym-lyudyam-IDEcEak.html#d8c4462a0e,"
5 234 грн.
"
"
Сдам квартиру в отличном районе
",https://www.olx.ua/obyavlenie/sdam-kvartiru-v-otlichnom-rayone-IDAszaK.html#d8c4462a0e,"
6 019 грн.
"
"
Сдается стильная 2х уровневая гостинка в новострое.
",https://www.olx.ua/obyavlenie/sdaetsya-stilnaya-2h-urovnevaya-gostinka-v-novostroe-IDEcDo5.html#d8c4462a0e,"
6 545 грн.
"
"
Сдам 1 ком. квартиру, центр
",https://www.olx.ua/obyavlenie/sdam-1-kom-kvartiru-tsentr-IDDIrLr.html#d8c4462a0e,"
9 162 грн.
"
"
Сдам изолированную квартиру на длительный срок
",https://www.olx.ua/obyavlenie/sdam-izolirovannuyu-kvartiru-na-dlitelnyy-srok-IDEcCpK.html#d8c4462a0e,"
6 019 грн.
"
"
Сдается гостинка в новострое
",https://www.olx.ua/obyavlenie/sdaetsya-gostinka-v-novostroe-IDEcBZG.html#d8c4462a0e,"
5 234 грн.
"
"
Сдам 2-комн.кв. в центре, метро Университет 5 мин.
",https://www.olx.ua/obyavlenie/sdam-2-komn-kv-v-tsentre-metro-universitet-5-min-IDEFd6o.html#d8c4462a0e,"
10 500 грн.
"
"
Аренда,Обмен 1 ком кв-ры с моей доплатой на 2 ком кв-ру м Масельского
",https://www.olx.ua/obyavlenie/arenda-obmen-1-kom-kv-ry-s-moey-doplatoy-na-2-kom-kv-ru-m-maselskogo-IDECD2A.html#d8c4462a0e,"
130 890 грн.
"
"
Сдам 1к.квартиру , рядом ст.м.Ак.Павлова.
",https://www.olx.ua/obyavlenie/sdam-1k-kvartiru-ryadom-st-m-ak-pavlova-IDEcBpb.html#d8c4462a0e,"
5 000 грн.
"
"
Сдам 3 к. квартиру в центре города
",https://www.olx.ua/obyavlenie/sdam-3-k-kvartiru-v-tsentre-goroda-IDvC3TM.html#d8c4462a0e,"
18 000 грн.
"
"
Аренда Дизайнерская 2ка. Новострой Premium класса Центр Паркинг
",https://www.olx.ua/obyavlenie/arenda-dizaynerskaya-2ka-novostroy-premium-klassa-tsentr-parking-IDBajJh.html#d8c4462a0e,"
18 318 грн.
"
"
Аренда Сдам 2к.кв. площадью 200 кв.м. в Новострое
",https://www.olx.ua/obyavlenie/arenda-sdam-2k-kv-ploschadyu-200-kv-m-v-novostroe-IDBZ4FU.html#d8c4462a0e,"
26 178 грн.
"
"
Сдам 2 ком. квартиру, центр
",https://www.olx.ua/obyavlenie/sdam-2-kom-kvartiru-tsentr-IDyNN0s.html#d8c4462a0e,"
13 089 грн.
"
"
Сдам стильную квартиру в ЖК ""Бестужевские Сады""
",https://www.olx.ua/obyavlenie/sdam-stilnuyu-kvartiru-v-zhk-bestuzhevskie-sady-IDCeFTA.html#d8c4462a0e,"
5 234 грн.
"
